Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Japan,,12,18,12,15,19,17,34,30,15,14,14,15,9,11,19 
Jordan,,,,0,1,0,0,0,,,,,,,, 
Kazakhstan,7,2,9,5,6,1,2,4,7,2,6,6,1,7,9,8 
Kiribati,,,,,,,,,,,,,,,0,1 
Kuwait,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Kyrgyzstan,0,1,2,1,0,1,1,0,2,4,0,1,0,0,1,4 
Latvia,,3,6,1,5,1,1,7,2,2,1,2,4,3,4,7 
Lithuania,1,1,1,0,3,1,2,1,4,2,2,2,2,2,1,1 
Luxembourg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Macau,,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,1,3,4,3,2,3,0,1,0 
Maldives,,,,,0,0,,1,0,,0,0,0,0,0,6 
Malta,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0 
Martinique,,,0,,0,0,1,1,1,0,0,0,0,1,0,0 
Mauritius,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0 
Mayotte,,,3,0,0,,,,,,,,,,, 
Mexico,,37,22,37,42,32,46,59,52,47,41,30,49,53,44,56 
Monaco,,,,,,,,,,,,,,,, 
Mongolia,,,,,,,,,,,,,,,, 
Montenegro,,,,,,,0,0,0,0,0,0,0,1,0,0 
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Morocco,,,,0,0,0,0,0,,,,,,,, 
Netherlands,18,19,11,14,15,5,7,9,10,10,8,9,12,10,19,11 
Netherlands Antilles,,,,,,,,,,,,,,,,1 
New Zealand,,,,3,3,4,1,2,2,0,1,1,1,3,1,0 
Nicaragua,,,2,0,1,0,1,1,2,0,0,0,0,0,0,1 
Norway,,1,0,1,2,6,0,2,0,2,2,2,2,4,4,3 
Occupied Palestinian Territory,,0,0,0,0,0,10,269,,,,,,,, 
Oman,,,,,,0,0,,,,,,,,, 
Panama,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0 
Paraguay,,1,2,3,0,0,0,0,0,0,0,0,1,2,5,1 
Peru,,0,0,3,2,2,2,8,0,4,0,4,10,5,3,9 
Philippines,,,,,59,47,62,70,64,82,,,95,95,118,121 
Poland,,3,1,2,1,2,0,1,3,0,2,2,2,4,4,6 
Portugal,,7,13,5,4,6,8,4,11,,,,4,12,4,6 
Puerto Rico,,3,0,1,5,2,3,3,1,1,1,2,2,0,3,4 
Qatar,,0,0,0,0,0,0,0,0,0,0,0,,,0, 
Republic of Korea,,,2,2,2,3,7,4,2,4,4,1,1,0,3,2 
Republic of Moldova,3,3,2,4,7,5,3,4,4,5,3,7,9,4,10,9 
Reunion,,,0,0,1,0,2,1,0,0,1,0,0,0,0, 
Rodrigues,,0,0,0,0,0,0,0,0,0,0,0,,0,0, 
Romania,1,2,1,0,1,0,2,1,1,1,3,3,3,4,5,2 
Russian Federation,,,,,143,160,139,155,171,163,148,187,176,217,167,196 
Saint Kitts and Nevis,,,,0,1,0,0,0,0,0,0,0,0,0,0,0 
Saint Lucia,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0 
Saint Pierre and Miquelon,,,,,,0,0,0,,0,0,,,,, 
Saint Vincent and the Grenadines,2,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0 
San Marino,0,,,,,,,,,,0,,,0,,0 
Sao Tome and Principe,,,,,,,,,,,,,,,, 
Saudi Arabia,,,,0,,,0,,,,,,,,, 
Serbia,,1,0,0,0,2,0,0,0,2,1,2,0,1,0,0 
Seychelles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Singapore,4,0,1,1,1,1,1,0,0,3,1,2,2,0,1,0 
Slovakia,,2,6,5,,0,0,0,1,0,0,0,0,3,2,0 
Slovenia,1,,1,3,0,2,0,1,0,1,0,0,1,0,0,0 
South Africa,,54,58,58,62,88,85,94,84,101,109,98,104,90,87,70 
Spain,,12,9,12,8,15,7,5,8,3,6,13,8,7,5,11 
Sri Lanka,,,,,,,,,,0,,,0,0,2,1 
Suriname,,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1 
Sweden,3,2,3,3,4,4,3,6,4,4,0,2,2,2,4,3 
Switzerland,,,7,2,4,2,2,1,2,0,3,3,0,3,1,5 
Syrian Arab Republic,,,,,,0,0,0,0,0,1,0,0,0,0,0 
Tajikistan,,,,,,,,,,,,,,,, 
TFYR Macedonia,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0 
Thailand,,4,5,1,5,0,3,2,1,3,0,1,3,4,,8 
Trinidad and Tobago,,,,,,0,1,1,2,1,1,1,1,0,1,0 
Tunisia,,,1,,,,2,,,,,,,,, 
Turkey,,,1,0,0,0,8,,,,,,,,, 
Turkmenistan,,1,5,1,1,3,8,2,1,3,4,4,8,9,3,7 
Turks and Caicos Islands,,0,0,,,,0,0,0,0,0,0,0,0,0,0 
Ukraine,,37,,39,37,40,49,44,55,47,42,,,,, 
United Arab Emirates,,,,,,,,,,,,,,,, 
United Kingdom,,,26,27,26,20,35,29,16,19,33,26,20,30,23,17 
United States of America,,56,71,65,77,65,59,80,65,62,58,61,72,69,75,67 
Uruguay,,0,1,3,,0,0,1,1,2,0,1,2,0,3,5 
Uzbekistan,,1,1,0,2,1,3,,,,1,10,,,, 
Venezuela (Bolivarian Republic of),,,7,1,6,0,3,1,1,7,11,9,25,23,18,29 
Virgin Islands (USA),,,,0,0,0,0,0,0,0,0,0,0,0,0,0 
Zimbabwe,,,,,,,,,,,,,,,, 
