Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Martinique,,,0,,1,0,0,0,0,0,0,0,0,0,0,0 
Mauritius,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0 
Mayotte,,,0,0,0,,,,,,,,,,, 
Mexico,,16,10,18,21,13,28,29,21,9,7,4,9,11,9,10 
Monaco,,,,,,,,,,,,,,,, 
Mongolia,,,,,,,,,,,,,,,, 
Montenegro,,,,,,,0,0,0,0,0,0,0,0,0,0 
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Morocco,,,,0,0,0,0,0,,,,,,,, 
Netherlands,28,24,17,12,10,1,1,3,6,2,1,4,1,4,1,3 
Netherlands Antilles,,,,,,,,,,,,,,,,0 
New Zealand,,,,1,1,0,1,0,2,0,2,0,0,0,0,1 
Nicaragua,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0 
Norway,,0,2,0,0,1,0,0,0,1,2,0,0,0,2,0 
Occupied Palestinian Territory,,0,0,0,0,0,0,0,,,,,,,, 
Oman,,,,,,3,3,,,,,,,,, 
Panama,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Paraguay,,2,2,1,3,0,0,0,0,0,0,0,0,1,0,0 
Peru,,0,0,4,5,6,5,6,0,0,0,1,30,22,5,6 
Philippines,,,,,21,15,28,26,31,26,,,23,30,30,27 
Poland,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0 
Portugal,,1,1,0,1,0,0,0,0,,,,1,4,0,0 
Puerto Rico,,2,1,0,0,0,0,1,0,0,1,0,0,1,1,1 
Qatar,,0,0,0,0,0,0,0,0,0,0,0,,,0, 
Republic of Korea,,,1,1,4,3,1,1,4,0,0,0,1,2,8,9 
Republic of Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Reunion,,,1,0,0,0,0,0,0,1,0,0,0,0,0, 
Rodrigues,,0,0,0,0,0,0,0,0,0,0,0,,1,0, 
Romania,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 
Russian Federation,,,,,9,10,11,8,12,11,12,25,34,6,17,16 
Saint Kitts and Nevis,,,,0,0,0,0,0,0,0,0,0,0,0,0,1 
Saint Lucia,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0 
Saint Pierre and Miquelon,,,,,,0,0,0,,0,0,,,,, 
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
San Marino,0,,,,,,,,,,0,,,0,,0 
Sao Tome and Principe,,,,,,,,,,,,,,,, 
Saudi Arabia,,,,2,,,0,,,,,,,,, 
Serbia,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 
Seychelles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Singapore,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0 
Slovakia,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0 
Slovenia,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0 
South Africa,,16,18,40,31,37,40,33,27,43,38,38,30,27,19,32 
Spain,,9,9,7,7,8,3,2,8,7,4,2,3,5,4,2 
Sri Lanka,,,,,,,,,,28,,,2,2,3,1 
Suriname,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Sweden,1,1,2,3,3,4,0,0,1,0,2,1,0,1,0,0 
Switzerland,,,20,9,14,9,5,3,1,0,9,4,1,4,6,2 
Syrian Arab Republic,,,,,,0,0,0,0,1,0,2,2,0,2,0 
Tajikistan,,,,,,,,,,,,,,,, 
TFYR Macedonia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Thailand,,6,3,4,3,4,2,4,0,0,2,3,1,3,,4 
Trinidad and Tobago,,,,,,0,0,0,1,1,0,0,0,0,0,0 
Tunisia,,,0,,,,0,,,,,,,,, 
Turkey,,,0,12,6,6,26,,,,,,,,, 
Turkmenistan,,0,0,0,1,3,0,1,2,1,4,1,2,3,2,2 
Turks and Caicos Islands,,0,0,,,,0,0,0,0,0,0,0,0,0,0 
Ukraine,,1,,3,0,2,0,1,2,1,0,,,,, 
United Arab Emirates,,,,,,,,,,,,,,,, 
United Kingdom,,,14,23,20,13,6,11,7,8,18,19,19,17,19,9 
United States of America,,34,43,59,49,53,43,51,45,51,45,43,41,40,37,59 
Uruguay,,0,0,0,,0,0,0,0,0,0,1,0,0,0,0 
Uzbekistan,,0,1,0,1,3,5,,,,9,23,,,, 
Venezuela (Bolivarian Republic of),,,0,0,0,0,0,0,0,0,0,0,1,0,1,2 
Virgin Islands (USA),,,,0,1,0,0,0,0,0,0,0,0,0,0,0 
Zimbabwe,,,,,,,,,,,,,,,, 
